country,activity,year,month,date,state,region,district,school_type,treatment,treat_phase,urban,student_id,grade,level,female,class_size,multigrade,age,language,clpm,clspm,csspm,cwpm,cnonwpm,unt_orf,orf,letter_score,letter_score_pcnt,letter_time_remain,letter_attempted,letter_attempted_pcnt,letter_sound_score,letter_sound_score_pcnt,letter_sound_time_remain,letter_sound_attempted,letter_sound_attempted_pcnt,fam_word_score,fam_word_score_pcnt,fam_word_time_remain,fam_word_attempted,fam_word_attempted_pcnt,oral_read_score,oral_read_score_pcnt,oral_read_time_remain,oral_read_attempted,oral_read_attempted_pcnt,read_comp_score,read_comp_score_pcnt,read_comp_attempted,read_comp_attempted_pcnt,unt_oral_read_score,unt_oral_read_score_pcnt,unt_oral_read_time_remain,unt_oral_read_attempted,unt_oral_read_attempted_pcnt,unt_read_comp_score,unt_read_comp_score_pcnt,unt_read_comp_attempted,unt_read_comp_attempted_pcnt,list_comp_score,list_comp_score_pcnt,list_comp_attempted,list_comp_attempted_pcnt,pa_num_sound_score,pa_num_sound_score_pcnt,pa_num_sound_attempted,pa_num_sound_attempted_pcnt,pa_phon_sound_score,pa_phon_sound_score_pcnt,pa_phon_sound_attempted,pa_phon_sound_attempted_pcnt,pa_diff_init_sound_score,pa_diff_init_sound_score_pcnt,pa_diff_init_sound_attempted,pa_diff_init_sound_attempted_pcnt,pa_init_sound_score,pa_init_sound_score_pcnt,pa_init_sound_attempted,pa_init_sound_attempted_pcnt,syllable_sound_score,syllable_sound_score_pcnt,syllable_sound_time_remain,syllable_sound_attempted,syllable_sound_attempted_pcnt,vocab_word_score,vocab_word_attempted,eq_orf,eq_oral_read_score,eq_oral_read_score_pcnt,eq_oral_read_attempted,eq_oral_read_attempted_pcnt,final_weight,strata1,strata2,strata3,strata4,strata5,fpc1,fpc2,fpc3,fpc4,fpc5,su1,su2,su3,su4,su5,wt1,wt2,wt3,wt4,wt5,cot_score,cot_attempted,cot_attempted_pcnt,invent_word_score,invent_word_score_pcnt,invent_word_time_remain,invent_word_attempted,invent_word_attempted_pcnt,eq_read_comp_score,eq_read_comp_score_pcnt,eq_read_comp_attempted,eq_read_comp_attempted_pcnt,cohort,intervention,encrypted_school_code
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Tigray,,,Control,Baseline,Rural,1020617,2,,Female,,No,9,Tigrinya,80,,,35,19,,25,80,0.800000012,0,81,0.987654328,,,,,,35,0.699999988,0,40,0.875,25,0.416666657,0,27,0.92592591,2,0.400000006,3,0.666666687,,,,,,,,,,3,0.600000024,5,0.600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.915723443,1,1,1,,,46,55,738,,,102,,,,,3.849999905,26.26000023,1.899999976,,,,,,19,0.379999995,0,26,0.730769217,,,,,,,fad38dc9dea36433fcc7f4f2913a3123
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Tigray,,,Control,Baseline,Rural,1052230,3,,Female,,No,13,Tigrinya,18,,,19,10,,12,18,0.180000007,0,22,0.818181813,,,,,,19,0.379999995,0,23,0.826086938,12,0.200000003,0,21,0.571428597,2,0.400000006,3,0.666666687,,,,,,,,,,1,0.200000003,5,0.200000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.157908201,1,1,3,,,46,52,772,,,105,,,,,5.420000076,12.84000015,4.550000191,,,,,,10,0.200000003,0,20,0.5,,,,,,,729ce3d4856daf439bb54026abe8cd1f
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Tigray,,,Control,Baseline,Rural,1062713,2,,Female,,No,7,Tigrinya,0,,,0,0,,0,0,0,41,10,0,,,,,,0,0,37,5,0,0,0,27,9,0,0,0,0,0,,,,,,,,,,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.097136617,1,1,1,,,46,60,738,,,106,,,,,5.590000153,19.68000031,1,,,,,,0,0,43,5,0,,,,,,,ce8753da4a4fdb5c8448fad36374e68f
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Tigray,,,Full treatment,Baseline,Rural,1061534,3,,Female,,No,9,Tigrinya,53,,,21,19,,11,53,0.529999971,0,64,0.828125,,,,,,21,0.419999987,0,24,0.875,11,0.183333337,0,16,0.6875,0,0,2,0,,,,,,,,,,3,0.600000024,5,0.600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172097132,2,1,3,,,16,1,395,,,103,,,,,1,1,1.700000048,,,,,,19,0.379999995,0,22,0.863636374,,,,,,,b04e6f674c5bd659b9265f44750742e0
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Tigray,,,Control,Baseline,Rural,1041921,3,,Male,,No,9,Tigrinya,11,,,29,16,,19,11,0.109999999,0,29,0.37931034,,,,,,29,0.579999983,0,38,0.763157904,19,0.316666663,0,29,0.655172408,2,0.400000006,3,0.666666687,,,,,,,,,,5,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41149807,1,1,4,,,46,54,762,,,104,,,,,4.210000038,6.489999771,5.179999828,,,,,,16,0.319999993,0,36,0.444444448,,,,,,,6b473a57601b4c26766ac0aca3bf98db
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Tigray,,,Control,Baseline,Rural,1020606,2,,Male,,No,9,Tigrinya,51,,,35,11,,10,51,0.50999999,0,68,0.75,,,,,,35,0.699999988,0,41,0.853658557,10,0.166666672,0,15,0.666666687,0,0,2,0,,,,,,,,,,2,0.400000006,5,0.400000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.520689011,1,1,2,,,46,55,726,,,102,,,,,3.849999905,26.26000023,2.5,,,,,,11,0.219999999,0,19,0.578947365,,,,,,,fad38dc9dea36433fcc7f4f2913a3123
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Addis Ababa,,,Control,Baseline,Urban,14061439,3,,Female,,No,8,Amharic,49,,,27,12,,16,49,0.49000001,0,55,0.890909076,,,,,,27,0.540000021,0,28,0.964285731,16,0.258064508,0,19,0.842105269,1,0.200000003,2,0.5,,,,,,,,,,4,0.800000012,5,0.800000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.191953182,15,1,3,,,1,99,3058,,,1406,,,,,1,3.450000048,12.39999962,,,,,,12,0.239999995,0,22,0.545454562,,,,,,,03e9af3291ae51341a7b3db02c775262
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Benishangul-Gumuz,,,Control,Baseline,Rural,6032528,3,,Male,,No,11,Amharic,62,,,33,0,,31,62,0.620000005,0,69,0.898550749,,,,,,33,0.660000026,0,40,0.824999988,31,0.5,0,41,0.756097555,2,0.400000006,4,0.5,,,,,,,,,,3,0.600000024,5,0.600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.384492159,9,1,4,,,20,24,932,,,603,,,,,3.529999971,2.99000001,3.329999924,,,,,,0,0,50,5,0,,,,,,,66395b8e898348c0563dd31ac84cb983
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Addis Ababa,,,Control,Baseline,Urban,14082406,2,,Male,,No,9,Amharic,63,,,40,29,,34,63,0.629999995,0,65,0.969230771,,,,,,40,0.800000012,0,40,1,34,0.54838711,0,38,0.894736826,1,0.200000003,4,0.25,,,,,,,,,,5,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.550560892,15,1,2,,,1,99,2438,,,1408,,,,,1,1.519999981,13,,,,,,29,0.579999983,0,30,0.966666639,,,,,,,38eafd5d64bdf60dba8fc29771ea5ccd
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Addis Ababa,,,Control,Baseline,Urban,14082238,3,,Female,,No,10,Amharic,88,,,60,33,,54,88,0.879999995,0,91,0.967032969,,,,,,47,0.939999998,13,50,0.939999998,54,0.870967746,0,56,0.964285731,3,0.600000024,4,0.75,,,,,,,,,,4,0.800000012,5,0.800000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.387250185,15,1,3,,,1,99,3058,,,1408,,,,,1,2.380000114,36,,,,,,33,0.660000026,0,41,0.804878056,,,,,,,92bcf56ab9bbb35838a1f8c9b03f1f86
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Benishangul-Gumuz,,,Control,Baseline,Rural,6032509,2,,Male,,No,11,Amharic,50,,,7,7,,18,50,0.5,0,64,0.78125,,,,,,7,0.140000001,0,13,0.538461566,18,0.290322572,0,22,0.818181813,0,0,2,0,,,,,,,,,,2,0.400000006,5,0.400000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997832358,9,1,2,,,20,24,899,,,603,,,,,3.529999971,2.99000001,2.400000095,,,,,,7,0.140000001,0,13,0.538461566,,,,,,,66395b8e898348c0563dd31ac84cb983
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Addis Ababa,,,Full treatment,Baseline,Urban,14051120,2,,Male,,No,8,Amharic,64,,,35,15,,25,64,0.639999986,0,66,0.969696999,,,,,,35,0.699999988,0,39,0.897435904,25,0.403225809,0,28,0.892857134,0,0,2,0,,,,,,,,,,3,0.600000024,5,0.600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784093857,16,1,2,,,1,1,316,,,1402,,,,,1,3.450000048,3.599999905,,,,,,15,0.300000012,0,22,0.681818187,,,,,,,8dbf2efd72c3a100cda3c52b88a3a4d8
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Full treatment,Baseline,Rural,3135532,3,,Male,,No,18,Amharic,52,,,29,24,,27,52,0.519999981,0,68,0.764705896,,,,,,29,0.579999983,0,31,0.935483873,27,0.435483873,0,32,0.84375,0,0,2,0,,,,,,,,,,2,0.400000006,5,0.400000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339607179,4,1,4,,,54,1,889,,,313,,,,,1,1,5.599999905,,,,,,24,0.479999989,0,31,0.774193525,,,,,,,935e027019d5ac6ee5e44dcae1d8d962
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Harari,,,Control,Baseline,Urban,13040613,2,,Female,,No,9,Amharic,103.4482727,,,49.83050919,35,,48,100,1,2,100,1,,,,,,49,0.980000019,1,50,0.980000019,48,0.774193525,0,49,0.979591846,4,0.800000012,4,1,,,,,,,,,,4,0.800000012,5,0.800000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.251087427,13,1,1,,,1,7,726,,,1306,,,,,1,1.74000001,7.599999905,,,,,,35,0.699999988,0,35,1,,,,,,,9306a5e0d7fee54d8dd72b97d4722248
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Full treatment,Baseline,Rural,3125228,3,,Male,,No,8,Amharic,0,,,1,0,,0,0,0,26,9,0,,,,,,1,2.00E-02,0,9,0.111111112,0,0,40,8,0,0,0,0,0,,,,,,,,,,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473024279,4,1,4,,,54,1,889,,,312,,,,,1,1,7.800000191,,,,,,0,0,37,5,0,,,,,,,3048cccf2cbe84225dc12707c6f780d9
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Control,Baseline,Rural,3052109,2,,Female,,No,9,Amharic,36,,,14,0,,12,36,0.360000014,0,40,0.899999976,,,,,,14,0.280000001,0,17,0.823529422,12,0.193548381,0,13,0.923076928,1,0.200000003,2,0.5,,,,,,,,,,3,0.600000024,5,0.600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.793753147,3,1,1,,,144,34,1022,,,305,,,,,26.26000023,9.260000229,1.700000048,,,,,,0,0,35,5,0,,,,,,,3ce829d10020b8797f66dfbfda27ba46
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Control,Baseline,Rural,3041639,3,,Male,,No,16,Amharic,20,,,16,2,,14,20,0.200000003,0,33,0.606060624,,,,,,16,0.319999993,0,29,0.551724136,14,0.225806445,0,26,0.538461566,1,0.200000003,2,0.5,,,,,,,,,,2,0.400000006,5,0.400000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.798371553,3,1,4,,,144,87,911,,,304,,,,,10.81999969,13.68000031,2.799999952,,,,,,2,4.00E-02,0,30,6.67E-02,,,,,,,619a28e70faff2371e8ce3496000c1f4
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,February,,,Benishangul-Gumuz,,,Full treatment,Baseline,Urban,6043305,2,,Female,,No,10,Amharic,1,,,0,0,,0,1,1.00E-02,0,18,0.055555556,,,,,,0,0,38,5,0,0,0,28,8,0,0,0,0,0,,,,,,,,,,1,0.200000003,5,0.200000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312632501,10,1,1,,,6,1,185,,,604,,,,,1,1,1.899999976,,,,,,0,0,36,5,0,,,,,,,754946b13cb2dbf908edc255a009d5f1
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Control,Baseline,Rural,3052136,3,,Male,,No,10,Amharic,77,,,45,29,,30,77,0.769999981,0,79,0.974683523,,,,,,45,0.899999976,0,45,1,30,0.483870953,0,30,1,4,0.800000012,4,1,,,,,,,,,,4,0.800000012,5,0.800000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.899268031,3,1,4,,,144,34,911,,,305,,,,,26.26000023,9.260000229,1.799999952,,,,,,29,0.579999983,0,31,0.935483873,,,,,,,3ce829d10020b8797f66dfbfda27ba46
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2010,January,,,Amhara,,,Control,Baseline,Rural,3031502,2,,Female,,No,9,Amharic,45,,,25,6,,19,45,0.449999988,0,54,0.833333313,,,,,,25,0.5,0,28,0.892857134,19,0.306451619,0,25,0.75999999,1,0.200000003,2,0.5,,,,,,,,,,1,0.200000003,5,0.200000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.216027737,3,1,1,,,144,64,1022,,,303,,,,,10.64999962,13.47000027,3.559999943,,,,,,6,0.119999997,0,14,0.428571433,,,,,,,6fb0d5fb010af64182bffc2f01bc0842
